,name,length,oneway,lanes,maxspeed
568,Lorne Terrace,158.132,False,2,30
569,Lourdes Road,296.482,False,2,30
570,Love Lane,284.042,False,3,30
571,Love Lane East,121.018,False,,
572,Luke Street,356.702,False,,
573,Lurgan Street,136.092,False,1,30
574,Mabel Street,238.96800000000002,False,2,30
575,Macken Street,1024.646,True,2,30
576,Madden Road,237.478,False,2,30
577,Madison Road,173.614,False,2,30
578,Magennis Square,191.494,True,2,30
579,Malachi Road,261.274,False,2,30
580,Mallin Avenue,218.7,False,2,30
581,Malpas Place,65.528,False,2,30
582,Malpas Street,245.68400000000003,False,2,30
583,Malpas Terrace,108.402,False,2,30
584,Manor Place,835.7819999999999,False,2,30
585,Manor Street,792.1299999999999,False,2,30
586,Marion Villas,136.128,False,2,30
587,Mark Street,130.322,True,2,30
588,Mark's Alley West,238.18,False,2,30
589,Mark's Lane,171.85399999999998,True,2,30
590,Market Street South,243.286,True,2,30
591,Marlborough Court,118.08000000000001,False,1,50
592,Marlborough Mews,342.212,False,1,50
593,Marlborough Place,103.07999999999998,False,2,30
594,Marlborough Road,315.61,False,2,30
595,Marlborough Street,738.2740000000001,True,2,30
596,Marne Villas,160.172,False,2,30
597,Marrowbone Lane,1364.4580000000003,False,1,30
598,Marrowbone Lane Close,142.95800000000003,False,2,30
599,Mary Street,94.02600000000001,True,2,30
600,Mary Street Little,109.256,True,2,30
601,Mary's Abbey,129.18,True,2,30
602,Mary's Lane,585.6640000000001,False,2,30
603,Matt Talbot Memorial Bridge,347.551,True,2,30
604,Maxwell Street,183.792,False,1,30
605,May Lane,132.395,True,2,30
606,May Street,189.118,False,2,30
607,Mayfield Road,220.89600000000002,False,2,30
608,Mayor Street Lower,909.7529999999998,True,2,30
609,Mc Mahon Street,88.24399999999999,True,,
610,McDowell Avenue,191.558,False,,
611,McKee Park,312.784,False,,
612,Meade's Terrace,77.408,True,2,30
613,Meath Place,345.07399999999996,False,2,30
614,Meath Square,181.486,False,1,30
615,Meath Street,341.444,True,,
616,Meetinghouse Lane,104.854,False,,
617,Mellows Bridge,56.304,True,1,30
618,Memorial Road,216.816,True,1,30
619,Mercer Street,417.889,True,1,30
620,Merchant's Quay,296.427,True,,
621,Merrion Row,120.777,True,1,30
622,Merrion Square East,351.49,False,2,30
623,Merrion Square North,680.056,False,2,30
624,Merrion Square South,669.72,False,,
625,Merrion Square West,358.548,False,1,30
626,Merrion Street Lower,120.618,True,1,30
627,Merrion Street Upper,415.912,False,2,30
628,Merton Park,97.596,True,2,30
629,Mespil Road,312.62600000000003,False,2,30
